,SMILES,smip_cand_mons,vinyl,epo,cOle,lactone,lactam,hydCOOH,aminCOOH,hindPhenol,cAnhyd,CO,HCHO,sfonediX,BzodiF,diepo,diCOOH,diol,diamin,diNCO,dicAnhyd,pridiamin,diol_b
51318,COc1ccc(C=Cc2ccc(OC)cc2)cc1,COc1ccc(C=Cc2ccc(OC)cc2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73725,C#Cc1cc(C(=O)OC)cc(C(=O)OC)c1,C#Cc1cc(C(=O)OC)cc(C(=O)OC)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13344,Fc1c(Br)cccc1C1CO1,Fc1c(Br)cccc1C1CO1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33561,N=C1N=C(N)c2ccc(N)cc21,N=C1N=C(N)c2ccc(N)cc21,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
23348,CC(C)(NC(=O)OCc1ccccc1)C(=O)N1CCOCC1,CC(C)(NC(=O)OCc1ccccc1)C(=O)N1CCOCC1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
8064,Cc1ccc(S(=O)(=O)Nc2ccc(Br)cc2Br)cc1,Cc1ccc(S(=O)(=O)Nc2ccc(Br)cc2Br)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59324,C#Cc1ccccc1NCC(=C)CC,C#Cc1ccccc1NCC(=C)CC,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
33231,CC1(COCc2ccccc2)OC(=O)OC1CO,CC1(COCc2ccccc2)OC(=O)OC1CO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
16223,O=C1CC2OCC=C3CN4CCC56c7cc(Br)ccc7N1C5C2C3CC46,O=C1CC2OCC=C3CN4CCC56c7cc(Br)ccc7N1C5C2C3CC46,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10151,Cc1ccc(C(O)C(=O)O)s1,Cc1ccc(C(O)C(=O)O)s1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
44752,O=C(C=Cc1ccccc1OCc1ccccc1)c1ccc(Cl)cc1,O=C(C=Cc1ccccc1OCc1ccccc1)c1ccc(Cl)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
61323,COC(=O)CCSCC=CC(=O)O,COC(=O)CCSCC=CC(=O)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74162,COc1ccc(C#CCCCO)cc1F,COc1ccc(C#CCCCO)cc1F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74187,Cc1cc(C#C[Si](C)(C)C)ccc1F,Cc1cc(C#C[Si](C)(C)C)ccc1F,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
36264,C=CC(O)c1c(Br)cncc1OC,C=CC(O)c1c(Br)cncc1OC,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10316,O=C(O)C1(C2(O)CCC2)CCSC1,O=C(O)C1(C2(O)CCC2)CCSC1,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
2555,Cc1sc(C#N)c(Br)c1Br,Cc1sc(C#N)c(Br)c1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
21543,Oc1ccc(C2(O)COC2)cc1,Oc1ccc(C2(O)COC2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
4735,Nc1ccc(Br)c(Br)c1Cl,Nc1ccc(Br)c(Br)c1Cl,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
62900,C#Cc1ccccc1NCC(=C)C,C#Cc1ccccc1NCC(=C)C,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
59523,CCC(=O)C=Cc1ccccc1C,CCC(=O)C=Cc1ccccc1C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
10672,CCOc1ccc(C(=O)O)c(O)c1Br,CCOc1ccc(C(=O)O)c(O)c1Br,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14972,CC1COCC1(C)O,CC1COCC1(C)O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29151,Cc1nc(O)nc(O)c1C=NO,Cc1nc(O)nc(O)c1C=NO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
2637,NC(=O)Cc1ccc(Br)c(Br)c1,NC(=O)Cc1ccc(Br)c(Br)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28207,Oc1ccc(C(c2ccccc2)c2ccc(O)cc2)cc1,Oc1ccc(C(c2ccccc2)c2ccc(O)cc2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
54787,O=C(C=Cc1ccc(Cl)cc1)Nc1cccc(Cl)c1Cl,O=C(C=Cc1ccc(Cl)cc1)Nc1cccc(Cl)c1Cl,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
13962,OC(CC1CO1)c1cccc(Cl)c1,OC(CC1CO1)c1cccc(Cl)c1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42875,CC(C)c1ccc(C=C(Cl)C=O)cc1,CC(C)c1ccc(C=C(Cl)C=O)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
71547,CCOC(=O)C#Cc1cnoc1,CCOC(=O)C#Cc1cnoc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
69769,C#CCOC(=O)Nc1ncccc1C,C#CCOC(=O)Nc1ncccc1C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
53563,C=C(C)C(C)ON,C=C(C)C(C)ON,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74467,COc1ccc(OC)c(C#CCC(C)O)c1,COc1ccc(OC)c(C#CCC(C)O)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
17268,Cc1ccc(S(=O)(=O)OCC2(F)CCOCC2)cc1,Cc1ccc(S(=O)(=O)OCC2(F)CCOCC2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
51944,Cc1cccc(OC(=O)C=Cc2cc(F)ccc2F)c1,Cc1cccc(OC(=O)C=Cc2cc(F)ccc2F)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
75003,C#Cc1ccccc1NCc1cccc(Br)c1,C#Cc1ccccc1NCc1cccc(Br)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
7702,Nc1c(Br)cc(S(=O)(=O)O)cc1Br,Nc1c(Br)cc(S(=O)(=O)O)cc1Br,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
28911,COc1cc(O)c(C(=O)C=Cc2ccccc2O)c(OC)c1,COc1cc(O)c(C(=O)C=Cc2ccccc2O)c(OC)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
10987,Cc1cc(CO)cc(F)c1C(=O)O,Cc1cc(CO)cc(F)c1C(=O)O,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
67644,C#Cc1cc(C)c(Br)c(C)c1,C#Cc1cc(C)c(Br)c(C)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
63645,C(=Cc1ccccn1)c1ccccc1,C(=Cc1ccccn1)c1ccccc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29333,OC(CCl)C(O)CSc1ccc(Cl)cc1Cl,OC(CCl)C(O)CSc1ccc(Cl)cc1Cl,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
37206,O=C(C=Cc1ccccc1)ON=C(c1ccccc1)c1ccc(Br)cc1,O=C(C=Cc1ccccc1)ON=C(c1ccccc1)c1ccc(Br)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
14631,O=S(=O)(NCC1CO1)c1ccc(Cl)cc1,O=S(=O)(NCC1CO1)c1ccc(Cl)cc1,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
25209,Oc1ccc(O)c(Cl)c1Cl,Oc1ccc(O)c(Cl)c1Cl,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
31144,C=CCN(CC=C)C(=O)CCCCCCCC,C=CCN(CC=C)C(=O)CCCCCCCC,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
73368,OCC#Cc1ccncc1,OCC#Cc1ccncc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
29571,Oc1ccc(Cc2ccc(O)c(Cl)c2)cc1Cl,Oc1ccc(Cc2ccc(O)c(Cl)c2)cc1Cl,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
15883,Cc1ccc(S(=O)(=O)SSN2CCOCC2)cc1,Cc1ccc(S(=O)(=O)SSN2CCOCC2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
26125,O=S(=O)(c1cccc2ccccc12)N(CCO)CCO,O=S(=O)(c1cccc2ccccc12)N(CCO)CCO,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,True
22476,CC1(C)OB(C2COC3CCCCC32)OC1(C)C,CC1(C)OB(C2COC3CCCCC32)OC1(C)C,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
40912,N#CC=Cc1cccc(B(O)O)c1,N#CC=Cc1cccc(B(O)O)c1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
74430,Cc1ccc(C#Cc2ccc(F)c(Cl)c2)cc1,Cc1ccc(C#Cc2ccc(F)c(Cl)c2)cc1,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
42449,CCOC(=O)C=Cc1c[nH]c2ccccc12,CCOC(=O)C=Cc1c[nH]c2ccccc12,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
31241,Cc1cc(C)c2c(c1)OC(=O)C2=O,Cc1cc(C)c2c(c1)OC(=O)C2=O,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False
