No,mon1,mon2,SMILES,polymer_class,thermal_conductivity
47,O=C(O)c1ccc(C=Nc2ccc(N=Cc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C=Nc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.405 
48,O=C(O)c1ccc(C=Nc2ccc(N=Cc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(C=Nc4ccc(N=Cc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.404 
49,O=S(=O)(c1ccc(Br)cc1)c1ccc(Br)cc1,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOc1ccc(S(=O)(=O)c2ccc(*)cc2)cc1,polyether,0.403 
50,O=C=NCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCNC(*)=O,polyurethane,0.402 
51,O=C=NCCCCCCCCN=C=O,OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCO,*OCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCCOC(=O)NCCCCCCCCNC(*)=O,polyurethane,0.402 
52,O=C(O)c1ccc(C=Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(NC(=O)c2ccc(NC(=O)c3ccc(C=Nc4ccc(C(*)=O)cc4)cc3)cc2)cc1,polyamide,0.400 
53,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3cc4cc(C(*)=O)ccc4[nH]3)cc2)cc1,polyamide,0.399 
54,O=C(O)c1ccc(NC(=O)c2ccc(C(=O)Nc3ccc(C(=O)O)cc3)cc2)cc1,Nc1ccc2cc3cc(N)ccc3cc2c1,*Nc1ccc2cc3cc(NC(=O)c4ccc(NC(=O)c5ccc(C(=O)Nc6ccc(C(*)=O)cc6)cc5)cc4)ccc3cc2c1,polyamide,0.395 
55,O=C(O)c1ccc2[nH]c(C(=O)O)cc2c1,Nc1ccc(NC(=O)c2ccc(N)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc4[nH]c(C(*)=O)cc4c3)cc2)cc1,polyamide,0.394 
56,O=C(O)c1ccc(Nc2ccc(C(=O)O)cc2)cc1,Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(N)cc3)cc2)cc1,*Nc1ccc(C(=O)Nc2ccc(NC(=O)c3ccc(NC(=O)c4ccc(Nc5ccc(C(*)=O)cc5)cc4)cc3)cc2)cc1,polyamide,0.393 
